contract_transaction_unique_key,award_id_piid,recipient_name,awarding_agency_name,awarding_sub_agency_name,product_or_service_code_description,naics_description,action_date,federal_action_obligation,total_dollars_obligated,extent_competed,type_of_contract_pricing,award_type
3600_-NONE-_36C26324P0028_0_-NONE-_0,36C26324P0028,"ARTIVION, INC",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2023-10-04,14440.0,14440.0,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26324P0235_0_-NONE-_0,36C26324P0235,"ALLIANT ENTERPRISES, LLC",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2023-12-29,22980.02,22980.02,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26324P0744_0_-NONE-_0,36C26324P0744,WMK LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SPECIAL NEEDS TRANSPORTATION,2024-05-14,11210.0,11210.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C77023P0040_P00002_-NONE-_0,36C77023P0040,KNAPP INC,Department of Veterans Affairs,Department of Veterans Affairs,CHEMICAL AND PHARMACEUTICAL PRODUCTS MANUFACTURING MACHINERY,CONVEYOR AND CONVEYING EQUIPMENT MANUFACTURING,2024-01-18,0.0,1072906.0,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24221P1514_P00003_-NONE-_0,36C24221P1514,VIP SPECIAL SERVICES LLC,Department of Veterans Affairs,Department of Veterans Affairs,HOUSEKEEPING- CUSTODIAL JANITORIAL,JANITORIAL SERVICES,2024-04-29,6880.0,28140.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24224C0084_P00001_-NONE-_0,36C24224C0084,DMYLES INC.,Department of Veterans Affairs,Department of Veterans Affairs,MAINTENANCE OF HOSPITALS AND INFIRMARIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,2024-09-17,23831.0,51522.0,COMPETED UNDER SAP,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C24224P0373_0_-NONE-_0,36C24224P0373,VYAIRE MEDICAL 203 INC,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,2024-03-08,9383.5,9383.5,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24224P0407_0_-NONE-_0,36C24224P0407,"TECHNICAL COMMUNITIES, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2023-12-20,19306.0,19306.0,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24224P0593_0_-NONE-_0,36C24224P0593,"AMERICAN ACCESS, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"HOSPITAL FURNITURE, EQUIPMENT, UTENSILS, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-01-25,19632.8,19632.8,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24424P0222_0_-NONE-_0,36C24424P0222,EDWARDS LIFESCIENCES LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-01-10,34000.0,34000.0,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24524P0536_0_-NONE-_0,36C24524P0536,THE CULVER GROUP LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",COMPUTER TERMINAL AND OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING,2024-04-12,34475.0,34475.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24522P0806_P00001_-NONE-_0,36C24522P0806,LIFE TECHNOLOGIES CORPORATION,Department of Veterans Affairs,Department of Veterans Affairs,"ANALYSIS INSTRUMENTS, MEDICAL LABORATORY USE",ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,2024-03-27,-26.5,24935.07,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24424P0619_0_-NONE-_0,36C24424P0619,MEDTRONIC USA INC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING,2024-05-20,10540.0,10540.0,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24622P0023_P00004_-NONE-_0,36C24622P0023,LIFE TECHNOLOGIES CORPORATION,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,2023-10-01,18969.06,73565.53,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24622P0045_P00006_-NONE-_0,36C24622P0045,VCU HEALTH SYSTEM AUTHORITY,Department of Veterans Affairs,Department of Veterans Affairs,MEDICAL- LABORATORY TESTING,MEDICAL LABORATORIES,2023-11-15,-14683.07,52139.6,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C77622P0185_P00002_-NONE-_0,36C77622P0185,PROQUEST LLC,Department of Veterans Affairs,Department of Veterans Affairs,SUPPORT- ADMINISTRATIVE: LIBRARY,INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS,2024-06-18,42823.97,124766.34,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C77624C0004_P00001_-NONE-_0,36C77624C0004,SPEES LLC,Department of Veterans Affairs,Department of Veterans Affairs,ARCHITECT AND ENGINEERING- CONSTRUCTION: HOSPITALS AND INFIRMARIES,ENGINEERING SERVICES,2024-02-27,0.0,2608397.08,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C78624C0041_P00001_-NONE-_0,36C78624C0041,"HAMILTON ENTERPRISES, LLC",Department of Veterans Affairs,Department of Veterans Affairs,SPECIAL STUDIES/ANALYSIS- ACCOUNTING/FINANCIAL MANAGEMENT,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,2024-09-14,0.0,30085.55,NOT COMPETED,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_3600_36C24423N0297_P00001_36C24421D0050_0,36C24423N0297,FILTECH INC,Department of Veterans Affairs,Department of Veterans Affairs,MAINT/REPAIR/REBUILD OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,ENVIRONMENTAL CONSULTING SERVICES,2024-04-25,-13780.0,24940.0,COMPETED UNDER SAP,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24423N0502_P00001_36C24421D0058_0,36C24423N0502,"NUCLEAR DIAGNOSTIC PRODUCTS, INC",Department of Veterans Affairs,Department of Veterans Affairs,DRUGS AND BIOLOGICALS,PHARMACEUTICAL PREPARATION MANUFACTURING,2024-06-18,-54374.99,288366.34,COMPETED UNDER SAP,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24424N0382_P00001_36C24421D0025_0,36C24424N0382,HOERNER INC,Department of Veterans Affairs,Department of Veterans Affairs,HOUSEKEEPING- SNOW REMOVAL/SALT,OTHER SERVICES TO BUILDINGS AND DWELLINGS,2024-08-20,-18309.36,26446.86,COMPETED UNDER SAP,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24424N1013_0_36C24421A0033_0,36C24424N1013,OTTO BOCK PATIENT CARE LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-08-05,17232.64,17232.64,COMPETED UNDER SAP,FIRM FIXED PRICE,BPA CALL
3600_-NONE-_36C24524P0308_0_-NONE-_0,36C24524P0308,PUBLISHING CONCEPTS,Department of Veterans Affairs,Department of Veterans Affairs,MEDICAL- OTHER,PERIODICAL PUBLISHERS,2024-01-25,2100.0,2100.0,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24722C0011_P00003_-NONE-_0,36C24722C0011,JOHNSON CONTROLS INC,Department of Veterans Affairs,Department of Veterans Affairs,MAINT/REPAIR/REBUILD OF EQUIPMENT- PUMPS AND COMPRESSORS,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",2023-10-01,110186.0,327860.0,NOT COMPETED,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C24722P0883_P00003_-NONE-_0,36C24722P0883,"GRAYBAR ELECTRIC COMPANY, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,2023-11-03,3263.8,56695.92,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C10B23C0021_P00001_-NONE-_0,36C10B23C0021,KNOWLEDGE FACTOR INC,Department of Veterans Affairs,Department of Veterans Affairs,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),SOFTWARE PUBLISHERS,2024-02-14,150000.0,300000.0,NOT COMPETED,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C24622P1085_P00003_-NONE-_0,36C24622P1085,"ALLIANT ENTERPRISES, LLC",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2023-11-08,10180.0,1175606.24,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24624C0018_P00003_-NONE-_0,36C24624C0018,"RGD CONSULTING ENGINEERS ORLANDO, LLC",Department of Veterans Affairs,Department of Veterans Affairs,ARCHITECT AND ENGINEERING- CONSTRUCTION: HOSPITALS AND INFIRMARIES,ARCHITECTURAL SERVICES,2024-08-14,0.0,411750.8,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C24720P0882_P00006_-NONE-_0,36C24720P0882,"1ST AMERICAN MEDICAL DISTRIBUTORS, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2023-10-12,-1250658.65,17548.6,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24724C0070_0_-NONE-_0,36C24724C0070,"ESTRATEGY CONSULTING, LLC",Department of Veterans Affairs,Department of Veterans Affairs,HOUSEKEEPING- WASTE TREATMENT/STORAGE,HAZARDOUS WASTE COLLECTION,2024-07-12,138000.0,138000.0,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C24724P0188_0_-NONE-_0,36C24724P0188,VETS ACCESS LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2023-11-29,25566.71,25566.71,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_3600_36C24524F0001_0_36C24523D0006_0,36C24524F0001,"CARDINAL HEALTH 414, LLC",Department of Veterans Affairs,Department of Veterans Affairs,DRUGS AND BIOLOGICALS,PHARMACEUTICAL PREPARATION MANUFACTURING,2023-10-01,259990.55,259990.55,COMPETED UNDER SAP,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24524F0679_0_36F79721D0168_0,36C24524F0679,OLYMPUS AMERICA INC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2024-09-20,25960.82,25960.82,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24524N0069_0_36C24524D0006_0,36C24524N0069,"PDS CONSULTANTS, INC",Department of Veterans Affairs,Department of Veterans Affairs,"OPHTHALMIC INSTRUMENTS, EQUIPMENT, AND SUPPLIES",OPHTHALMIC GOODS MANUFACTURING,2023-10-01,200000.0,200000.0,NOT COMPETED,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24524N0823_0_36C10G18D0010_0,36C24524N0823,"JPL & ASSOCIATES, LLC",Department of Veterans Affairs,Department of Veterans Affairs,OFFICE FURNITURE,"SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING",2024-08-14,333219.68,333219.68,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24621N0088_P00007_V797D40161_0,36C24621N0088,ST ENGINEERING AETHON INC,Department of Veterans Affairs,Department of Veterans Affairs,MAINT/REPAIR/REBUILD OF EQUIPMENT- SPECIAL INDUSTRY MACHINERY,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-02-13,-11700.0,1500.0,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_-NONE-_36C24724P0765_0_-NONE-_0,36C24724P0765,TRILLAMED LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-04-25,63389.54,63389.54,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24724P1128_0_-NONE-_0,36C24724P1128,"SHAMROCK PROSTHETICS, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-08-02,21014.65,21014.65,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24821C0024_P00007_-NONE-_0,36C24821C0024,UNIVERSITY OF SOUTH FLORIDA,Department of Veterans Affairs,Department of Veterans Affairs,EDUCATION/TRAINING- FACULTY SALARIES FOR DEPENDENT SCHOOLS,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2024-09-06,-17204.8,100578.03,NOT AVAILABLE FOR COMPETITION,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C24821P0004_P00004_-NONE-_0,36C24821P0004,CEPHEID,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,2023-10-01,38100.0,152400.0,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24822P0442_P00003_-NONE-_0,36C24822P0442,ABIOMED INC,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,2024-03-29,0.0,56700.0,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C10M24P50102_0_-NONE-_0,36C10M24P50102,FEDERAL EMPLOYMENT LAW TRAINING GROUP LLC,Department of Veterans Affairs,Department of Veterans Affairs,EDUCATION/TRAINING- GENERAL,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,2024-09-27,2975.0,2975.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C10X24P0115_0_-NONE-_0,36C10X24P0115,"BEN ALLEGRETTI CONSULTING, INC",Department of Veterans Affairs,Department of Veterans Affairs,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2024-09-30,2355211.16,1207261.96,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_3600_36C24624N0028_0_36C24622D0009_0,36C24624N0028,NORTH CAROLINA DEPARTMENT OF PUBLIC SAFETY,Department of Veterans Affairs,Department of Veterans Affairs,HOUSEKEEPING- LAUNDRY/DRYCLEANING,INDUSTRIAL LAUNDERERS,2023-10-01,396720.0,396720.0,COMPETED UNDER SAP,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24624N0649_0_36F79720D0045_0,36C24624N0649,"AMERICAN ACCESS, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-04-02,12115.82,12115.82,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24720N0578_P00014_36C24719D0018_0,36C24720N0578,"STRUCTURAL BUILDERS, INC.",Department of Veterans Affairs,Department of Veterans Affairs,MAINTENANCE OF HOSPITALS AND INFIRMARIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,2024-03-08,0.0,6122967.97,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_-NONE-_36C24820P0617_P00009_-NONE-_0,36C24820P0617,"WASTE MANAGEMENT, INC.",Department of Veterans Affairs,Department of Veterans Affairs,HOUSEKEEPING- TRASH/GARBAGE COLLECTION,SOLID WASTE COLLECTION,2024-01-30,3828.08,63366.92,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24821P0582_P00005_-NONE-_0,36C24821P0582,"RDC JPA ARCHITECTURE, L.L.L.P.",Department of Veterans Affairs,Department of Veterans Affairs,ARCHITECT AND ENGINEERING- CONSTRUCTION: HOSPITALS AND INFIRMARIES,ARCHITECTURAL SERVICES,2024-04-19,0.0,176504.0,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24823P1836_P00001_-NONE-_0,36C24823P1836,A-Z SOLUTIONS INC,Department of Veterans Affairs,Department of Veterans Affairs,KITCHEN EQUIPMENT AND APPLIANCES,COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,2023-10-27,0.0,210691.23,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24823P2007_P00003_-NONE-_0,36C24823P2007,"FOUR POINTS TECHNOLOGY, L.L.C.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING,2024-06-17,0.0,1911148.54,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24824P1132_0_-NONE-_0,36C24824P1132,SANTA FE POWER SOLUTIONS INC,Department of Veterans Affairs,Department of Veterans Affairs,MAINT/REPAIR/REBUILD OF EQUIPMENT- ELECTRIC WIRE AND POWER DISTRIBUTION EQUIPMENT,ELECTRIC POWER DISTRIBUTION,2024-05-16,18530.0,18530.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24824P1293_0_-NONE-_0,36C24824P1293,MEDBLOC INC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-04-18,11368.7,11368.7,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24824P1437_0_-NONE-_0,36C24824P1437,GE PRECISION HEALTHCARE LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",IRRADIATION APPARATUS MANUFACTURING,2024-05-28,144050.5,144050.5,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24924P0475_P00001_-NONE-_0,36C24924P0475,TRILLAMED LLC,Department of Veterans Affairs,Department of Veterans Affairs,"BUILDING COMPONENTS, PREFABRICATED",METAL WINDOW AND DOOR MANUFACTURING,2024-04-25,0.0,13169.9,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24121C0006_P00016_-NONE-_0,36C24121C0006,"WILLIAMS BUILDING COMPANY, INC.",Department of Veterans Affairs,Department of Veterans Affairs,REPAIR OR ALTERATION OF HOSPITALS AND INFIRMARIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,2024-02-09,23784.8,13322326.51,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C24123P0096_P00002_-NONE-_0,36C24123P0096,RICOH USA INC,Department of Veterans Affairs,Department of Veterans Affairs,MAINT/REPAIR/REBUILD OF EQUIPMENT- OFFICE SUPPLIES AND DEVICES,COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE,2023-10-31,14472.84,28945.68,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24219C0148_P00002_-NONE-_0,36C24219C0148,AVRAMIDES MICHAEL,Department of Veterans Affairs,Department of Veterans Affairs,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER HOSPITAL BUILDINGS,ARCHITECTURAL SERVICES,2024-06-12,-12192.97,169714.14,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C24222P0020_P00004_-NONE-_0,36C24222P0020,CROSSTOWN COURIER SERVICE INC,Department of Veterans Affairs,Department of Veterans Affairs,SUPPORT- ADMINISTRATIVE: COURIER/MESSENGER,COURIERS AND EXPRESS DELIVERY SERVICES,2023-10-01,171064.8,513194.4,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24922C0061_P00004_-NONE-_0,36C24922C0061,DELORENCO L JACKSON,Department of Veterans Affairs,Department of Veterans Affairs,"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL",HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,2024-01-31,-98964.0,20789.0,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C24924P0642_0_-NONE-_0,36C24924P0642,NEVRO CORP.,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-05-03,58855.44,58855.44,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24924P1235_0_-NONE-_0,36C24924P1235,"HANGER, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-08-18,11584.28,11584.28,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24E20P0201_P00003_-NONE-_0,36C24E20P0201,PHILIPS NORTH AMERICA LLC,Department of Veterans Affairs,Department of Veterans Affairs,LABORATORY EQUIPMENT AND SUPPLIES,"SOFTWARE AND OTHER PRERECORDED COMPACT DISC, TAPE, AND RECORD REPRODUCING",2024-06-24,-11221.46,191868.84,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24E22P0004_P00002_-NONE-_0,36C24E22P0004,"HYDROPAC, LLC",Department of Veterans Affairs,Department of Veterans Affairs,MAINT/REPAIR/REBUILD OF EQUIPMENT- INSTRUMENTS AND LABORATORY EQUIPMENT,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,2023-12-19,5668.0,13534.0,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24E24P0114_0_-NONE-_0,36C24E24P0114,"TEMPUS AI, INC",Department of Veterans Affairs,Department of Veterans Affairs,HEALTH R&D SERVICES; HEALTH CARE - OTHER; R&D ADMINISTRATIVE EXPENSES,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",2024-09-30,67572.0,67572.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_3600_36C24724N1000_0_36C24722A0047_0,36C24724N1000,"FLOYD BRACE COMPANY, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-08-25,11942.18,11942.18,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,BPA CALL
3600_3600_36C24822N0590_P00002_36C24819D0099_0,36C24822N0590,"ALPHA4 SOLUTIONS, LLC",Department of Veterans Affairs,Department of Veterans Affairs,SUPPORT- ADMINISTRATIVE: COURT REPORTING,COURT REPORTING AND STENOTYPE SERVICES,2024-02-01,-573.5,3154.5,COMPETED UNDER SAP,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24824F0171_0_36C10G18D0015_0,36C24824F0171,"JPL & ASSOCIATES, LLC",Department of Veterans Affairs,Department of Veterans Affairs,"CABINETS, LOCKERS, BINS, AND SHELVING","SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING",2024-04-18,21389.28,21389.28,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
