contract_transaction_unique_key,award_id_piid,recipient_name,awarding_agency_name,awarding_sub_agency_name,product_or_service_code_description,naics_description,action_date,federal_action_obligation,total_dollars_obligated,extent_competed,type_of_contract_pricing,award_type
3600_-NONE-_36C26324P0085_0_-NONE-_0,36C26324P0085,CASTLE ROCK ACCESS LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2023-10-25,15661.24,15661.24,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26324P0422_P00001_-NONE-_0,36C26324P0422,"TREACE MEDICAL CONCEPTS, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-04-11,2345.52,19038.52,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26324P0598_0_-NONE-_0,36C26324P0598,"NORTHERN ORTHOTICS & PROSTHETICS, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-04-02,11600.14,11600.14,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25223P0306_P00003_-NONE-_0,36C25223P0306,"V3GATE, LLC",Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",OTHER COMPUTER RELATED SERVICES,2024-07-31,51298.88,691928.69,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25224P1049_0_-NONE-_0,36C25224P1049,DAHME MECHANICAL INDUSTRIES INC,Department of Veterans Affairs,Department of Veterans Affairs,"INSTALLATION OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT","PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",2024-05-01,39710.0,39710.0,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C77024P0194_0_-NONE-_0,36C77024P0194,CORE TRADING CO,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING,2024-03-12,57000.0,57000.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C77621C0080_P00002_-NONE-_0,36C77621C0080,"FFE - HEAPY JV, LLC",Department of Veterans Affairs,Department of Veterans Affairs,ARCHITECT AND ENGINEERING- GENERAL: ELECTRICAL SYSTEMS,ENGINEERING SERVICES,2024-02-27,20920.0,1860620.0,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C77623P0038_P00001_-NONE-_0,36C77623P0038,GRAHAM ADVISORY NETWORK INC,Department of Veterans Affairs,Department of Veterans Affairs,SUPPORT- ADMINISTRATIVE: LIBRARY,WEB SEARCH PORTALS AND ALL OTHER INFORMATION SERVICES,2024-02-09,168227.62,805353.07,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C78623P50089_P00001_-NONE-_0,36C78623P50089,"PAGE AFTER PAGE BUSINESS SYSTEMS, INC.",Department of Veterans Affairs,Department of Veterans Affairs,LEASE OR RENTAL OF EQUIPMENT- OFFICE SUPPLIES AND DEVICES,OFFICE MACHINERY AND EQUIPMENT RENTAL AND LEASING,2024-01-17,5112.0,10224.0,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25621P0835_P00003_-NONE-_0,36C25621P0835,"RED RIVER PRESORT, L.L.C.",Department of Veterans Affairs,Department of Veterans Affairs,SUPPORT- ADMINISTRATIVE: MAILING/DISTRIBUTION,ALL OTHER BUSINESS SUPPORT SERVICES,2024-04-22,28200.0,100200.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
